Shooter ID,Shooter position,Defender ID,Defend Success,Shooter Cluster
203083,C,203944,1,2
203382,C,101138,1,1
203083,C,101138,1,2
203083,C,101138,1,2
201579,C,101141,1,0
203083,C,201579,1,2
203083,C,201579,1,2
203083,C,201579,1,2
203083,C,101150,1,2
203083,C,101138,1,2
203083,C,201579,1,2
203457,C,1717,0,0
1626143,C,203939,0,4
1626143,C,2585,0,4
203457,C,203939,0,0
203457,C,1717,0,0
1626143,C,203939,0,4
1626143,C,203939,0,4
1626143,C,2585,0,4
1626143,C,2585,0,4
203457,C,1717,0,0
1626143,C,2585,0,4
1626143,C,203939,0,4
203457,C,1717,1,0
1626143,C,2585,1,4
2585,C,203457,1,0
1626143,C,203939,1,4
203457,C,1717,1,0
203457,C,1717,1,0
203457,C,2585,1,0
203457,C,1717,1,0
1626143,C,2585,1,4
1626143,C,2585,1,4
203457,C,2585,1,0
1626143,C,203939,1,4
1626143,C,203939,1,4
203457,C,2585,1,0
1626143,C,2585,1,4
201149,C,202730,0,0
201941,C,201149,0,1
201149,C,203524,0,0
101133,C,2200,0,2
101133,C,2200,0,2
201149,C,202730,0,0
201149,C,203524,0,0
101133,C,201565,1,2
101133,C,2200,1,2
101133,C,2200,1,2
201941,C,201959,1,1
201149,C,201941,1,0
201941,C,201149,1,1
201941,C,201959,1,1
201941,C,201959,1,1
201149,C,202730,1,0
201941,C,201959,1,1
201149,C,202730,1,0
201941,C,201149,1,1
2730,C,101161,0,2
203991,C,101135,0,2
203991,C,101135,0,2
203482,C,1626149,0,3
203482,C,1891,0,3
2730,C,201973,0,2
203482,C,203093,0,3
2730,C,203096,1,2
203482,C,2730,1,3
203482,C,203991,1,3
203991,C,101135,1,2
203482,C,1626149,1,3
203482,C,1626149,1,3
2730,C,203096,1,2
203991,C,101161,1,2
203482,C,203909,1,3
203482,C,201977,1,3
203482,C,201147,1,3
203482,C,203093,1,3
201188,C,201586,0,4
201188,C,203500,0,4
203500,C,2216,0,2
202683,C,201188,0,2
201188,C,2555,0,4
202683,C,201188,0,2
202683,C,2216,0,2
201188,C,201586,0,4
203500,C,201188,0,2
203500,C,2216,0,2
202683,C,201188,0,2
201188,C,202683,0,4
202683,C,201188,0,2
201188,C,201586,0,4
203500,C,201188,0,2
201188,C,201627,0,4
201188,C,201586,1,4
203500,C,2216,1,2
201188,C,203500,1,4
201188,C,202683,1,4
201188,C,202683,1,4
202683,C,201188,1,2
201188,C,203500,1,4
201188,C,203500,1,4
203486,C,200746,0,0
1495,C,203486,0,1
1495,C,202329,0,1
1495,C,203943,0,1
203486,C,201988,0,0
203486,C,1938,0,0
1495,C,203486,1,1
1495,C,203486,1,1
203486,C,1495,1,0
1495,C,203486,1,1
201579,C,2199,0,0
201579,C,2199,0,0
203458,C,101138,0,0
203458,C,101138,0,0
201579,C,200782,0,0
201579,C,2199,0,0
201579,C,2199,0,0
201579,C,2199,0,0
203458,C,101138,1,0
201579,C,2199,1,0
2199,C,201579,1,0
2199,C,201579,1,0
201579,C,203458,1,0
203458,C,101138,1,0
201579,C,203458,1,0
203458,C,201579,1,0
101162,C,202328,0,1
101162,C,202328,0,1
203089,C,2403,0,1
101162,C,202328,0,1
101162,C,202328,1,1
202328,C,101162,1,4
202328,C,101162,1,4
101162,C,202328,1,1
202328,C,202322,1,4
202328,C,101162,1,4
201143,C,201572,0,1
201572,C,201168,0,4
201168,C,201572,0,1
201572,C,201143,0,4
201143,C,201572,0,1
201572,C,203488,0,4
201143,C,201572,0,1
201143,C,201572,0,1
201572,C,201143,0,4
201572,C,201143,0,4
201572,C,201168,0,4
201572,C,201168,0,4
201572,C,201168,0,4
201143,C,1626178,0,1
201572,C,201168,0,4
201143,C,201572,0,1
201572,C,201143,0,4
201572,C,201143,0,4
201143,C,201572,0,1
201143,C,201572,0,1
201572,C,201168,1,4
201572,C,201168,1,4
201572,C,201168,1,4
200745,C,203488,1,4
201572,C,203118,1,4
201143,C,201152,1,1
201168,C,201572,1,1
201168,C,201572,1,1
201168,C,201572,1,1
201572,C,201168,1,4
201143,C,201152,1,1
201572,C,201143,1,4
201572,C,201143,1,4
201572,C,200794,1,4
201572,C,200794,1,4
201572,C,201143,1,4
201143,C,201572,1,1
203083,C,202389,0,2
203083,C,202684,0,2
202684,C,203083,0,2
202684,C,203083,0,2
203083,C,201567,0,2
203083,C,202389,0,2
203083,C,2590,0,2
202389,C,203083,0,1
203083,C,201567,0,2
203083,C,202684,0,2
202389,C,203083,0,1
202389,C,203083,0,1
203382,C,202684,0,1
203083,C,202389,0,2
202389,C,203083,0,1
203083,C,2544,0,2
203083,C,2590,0,2
203083,C,202389,1,2
203083,C,202389,1,2
202684,C,203083,1,2
203382,C,202684,1,1
203382,C,202389,1,1
203083,C,201567,1,2
202684,C,203083,1,2
203083,C,202389,1,2
202684,C,203083,1,2
203083,C,202684,1,2
202389,C,203083,1,1
1626157,C,202355,0,1
202355,C,1626157,0,2
202355,C,203476,0,2
203476,C,202355,0,0
202355,C,203476,0,2
202355,C,1626157,0,2
1626157,C,202355,0,1
1626157,C,202355,0,1
1626157,C,202355,0,1
1626157,C,202355,0,1
202355,C,203476,0,2
202355,C,203476,0,2
203476,C,201177,0,0
202355,C,1626157,0,2
202355,C,1626157,0,2
1626157,C,1626159,0,1
1626157,C,202355,1,1
1626157,C,2736,1,1
203476,C,202355,1,0
202355,C,203476,1,2
203476,C,202355,1,0
203476,C,1626159,1,0
203476,C,202355,1,0
202355,C,1626157,1,2
202355,C,1626157,1,2
1626157,C,202355,1,1
1626157,C,202355,1,1
202355,C,203476,1,2
203476,C,1626159,1,0
203476,C,202355,1,0
1626157,C,202355,1,1
203469,C,204001,0,1
203469,C,204001,0,1
2744,C,201577,0,4
2744,C,201577,0,4
201150,C,202338,0,3
1626163,C,1626170,0,3
201150,C,202338,0,3
201150,C,202338,0,3
2744,C,201577,0,4
201577,C,202689,0,1
2744,C,201577,0,4
203469,C,201577,0,1
2744,C,202338,0,4
201150,C,201167,0,3
2744,C,201577,1,4
201577,C,2744,1,1
203469,C,204001,1,1
201577,C,202689,1,1
2744,C,201577,1,4
1626163,C,204001,1,3
201150,C,202498,1,3
1626163,C,202682,1,3
201150,C,202338,1,3
201150,C,204001,1,3
201150,C,204001,1,3
2744,C,202338,1,4
2744,C,202338,1,4
2744,C,201577,1,4
203469,C,204001,1,1
201577,C,2744,1,1
2744,C,202338,1,4
1626163,C,204038,1,3
1626163,C,202498,1,3
201150,C,202338,1,3
2744,C,202338,1,4
201582,C,202702,0,1
201582,C,202702,0,1
203076,C,201581,1,4
203076,C,202702,1,4
203076,C,201581,1,4
201582,C,203115,1,1
203105,C,202685,0,2
101106,C,202685,0,2
203105,C,202685,0,2
202685,C,202691,0,2
202685,C,101106,0,2
101106,C,2449,0,2
101106,C,202685,0,2
101106,C,200768,0,2
203105,C,200768,0,2
202685,C,203110,0,2
101106,C,201942,0,2
202685,C,203105,1,2
101106,C,202687,1,2
202685,C,203105,1,2
202685,C,203105,1,2
203105,C,202685,1,2
202685,C,203105,1,2
202685,C,101106,1,2
202685,C,203110,1,2
2744,C,1626178,0,4
2744,C,201572,0,4
2744,C,203080,0,4
2744,C,1626178,0,4
1626163,C,201152,0,3
200745,C,1626163,0,4
201150,C,201572,0,3
201150,C,201572,0,3
201150,C,201572,0,3
201150,C,200745,0,3
201572,C,1626163,0,4
200745,C,203087,0,4
201572,C,201150,0,4
201572,C,2744,0,4
201572,C,2744,0,4
1626163,C,2207,0,3
2744,C,201572,0,4
201572,C,2744,0,4
1626163,C,201152,0,3
1626163,C,201152,0,3
201572,C,201150,0,4
200745,C,202391,0,4
200745,C,201150,0,4
201150,C,201961,0,3
201572,C,201150,0,4
2744,C,201572,0,4
2744,C,201572,0,4
201572,C,2744,0,4
203469,C,201572,1,1
2744,C,201572,1,4
2744,C,203080,1,4
1626163,C,201152,1,3
201572,C,201150,1,4
200745,C,1626163,1,4
200745,C,1626163,1,4
201572,C,201150,1,4
201150,C,201572,1,3
200745,C,201150,1,4
201150,C,201572,1,3
200745,C,1626163,1,4
201572,C,203087,1,4
2744,C,201572,1,4
2744,C,201572,1,4
201572,C,2744,1,4
2744,C,203080,1,4
1626163,C,201152,1,3
201572,C,2744,1,4
2744,C,201572,1,4
201572,C,2744,1,4
201572,C,2744,1,4
201572,C,2744,1,4
2744,C,201572,1,4
201572,C,201150,1,4
200745,C,201150,1,4
200745,C,201150,1,4
2744,C,201572,1,4
2744,C,201572,1,4
201572,C,2744,1,4
201572,C,203469,1,4
1626157,C,202696,0,1
202696,C,1626157,0,1
1626157,C,202696,0,1
203476,C,203473,0,0
203476,C,203473,0,0
202696,C,1626157,0,1
1626157,C,202696,0,1
1626157,C,202696,0,1
1626157,C,203473,0,1
1626157,C,101112,0,1
201160,C,203498,0,1
203476,C,201160,0,0
1626157,C,203094,0,1
202696,C,1626157,1,1
1626157,C,203506,1,1
202696,C,1626157,1,1
1626157,C,202696,1,1
202696,C,202357,1,1
201160,C,203476,1,1
201160,C,203476,1,1
203476,C,201160,1,0
202696,C,2755,1,1
202696,C,1626157,1,1
202696,C,1626157,1,1
202696,C,1626157,1,1
202696,C,1626157,1,1
1626157,C,203473,1,1
203476,C,201160,1,0
201160,C,202357,1,1
203476,C,201160,1,0
201160,C,1626157,1,1
1626157,C,203094,1,1
1626143,C,101133,0,4
203457,C,101139,0,0
201941,C,203457,0,1
1626143,C,201941,0,4
1626143,C,201941,0,4
201941,C,1626143,0,1
201941,C,1626143,0,1
101133,C,203496,0,2
1626143,C,101133,0,4
1626143,C,201941,0,4
1626143,C,101133,0,4
201941,C,203960,0,1
101133,C,1626143,1,2
101133,C,203924,1,2
203457,C,201941,1,0
201941,C,203457,1,1
203457,C,201941,1,0
201941,C,203457,1,1
1626143,C,201941,1,4
1626143,C,101133,1,4
201941,C,1626143,1,1
101133,C,1626143,1,2
201941,C,1626174,1,1
1626143,C,201941,1,4
201941,C,1626143,1,1
1626143,C,101133,1,4
1626143,C,203524,1,4
203482,C,1717,0,3
2585,C,101135,0,0
2585,C,202323,0,0
2585,C,203096,0,0
2585,C,101135,0,0
203482,C,202379,0,3
2585,C,203096,0,0
2585,C,202738,1,0
203482,C,1717,1,3
203482,C,1717,1,3
2585,C,203096,1,0
203482,C,203939,1,3
203482,C,202379,1,3
202326,C,2594,0,4
202326,C,201143,0,4
202326,C,201143,0,4
202326,C,201168,0,4
201168,C,202326,0,1
201143,C,201585,0,1
201585,C,201143,0,1
201585,C,2594,0,1
201143,C,201585,0,1
201585,C,203934,0,1
202326,C,201168,0,4
202326,C,2594,0,4
201143,C,203112,0,1
201143,C,203112,0,1
201143,C,203112,0,1
201585,C,201168,0,1
201168,C,201585,0,1
201143,C,201585,0,1
201585,C,201143,0,1
201585,C,201168,0,1
202326,C,201143,0,4
201143,C,200752,1,1
201143,C,202326,1,1
202326,C,201143,1,4
202326,C,203200,1,4
202326,C,201168,1,4
202326,C,202714,1,4
202326,C,202714,1,4
201143,C,201585,1,1
201585,C,203200,1,1
201585,C,203200,1,1
201168,C,200752,1,1
201168,C,201954,1,1
201143,C,203112,1,1
201143,C,200765,1,1
202326,C,201143,1,4
202326,C,203934,1,4
201143,C,202326,1,1
202326,C,203200,1,4
202326,C,200794,1,4
202326,C,201168,1,4
202326,C,201168,1,4
201585,C,201168,1,1
1626161,C,203488,1,2
1626161,C,201143,1,2
201143,C,1626161,1,1
201143,C,201158,1,1
202326,C,201143,1,4
201143,C,201954,1,1
203486,C,2730,0,0
2730,C,202334,0,2
203486,C,201935,0,0
203486,C,2730,0,0
203991,C,203459,0,2
2730,C,203459,0,2
203991,C,203486,0,2
2730,C,203486,1,2
2730,C,202334,1,2
203991,C,203486,1,2
203991,C,203486,1,2
203486,C,201935,1,0
203486,C,201935,1,0
2730,C,203486,1,2
201582,C,203500,0,1
202683,C,201967,0,2
201582,C,202683,0,1
202683,C,201582,0,2
202683,C,201582,0,2
201582,C,203500,0,1
201582,C,203500,0,1
201582,C,201566,0,1
202683,C,201582,0,2
201582,C,202683,0,1
202683,C,202087,0,2
202683,C,201582,0,2
203500,C,201582,1,2
203500,C,202087,1,2
202683,C,201583,1,2
202683,C,201582,1,2
201582,C,202683,1,1
202683,C,201582,1,2
202683,C,201582,1,2
202683,C,201582,1,2
202683,C,202087,1,2
202683,C,201967,1,2
201582,C,202683,1,1
1495,C,203914,0,1
1495,C,201581,0,1
203999,C,200746,0,1
203999,C,200746,0,1
203999,C,2564,0,1
203999,C,2564,0,1
203999,C,1495,0,1
1495,C,203999,0,1
1495,C,202702,0,1
1495,C,201581,0,1
203999,C,2564,0,1
203999,C,2561,0,1
203999,C,200746,0,1
203999,C,2564,1,1
203999,C,2564,1,1
203999,C,2564,1,1
1495,C,201581,1,1
1495,C,201581,1,1
203999,C,1495,1,1
203999,C,200746,1,1
203497,C,202685,0,2
202685,C,203497,0,2
203497,C,202685,0,2
203497,C,202687,0,2
202685,C,202344,0,2
202685,C,203497,0,2
202685,C,203497,0,2
203497,C,202685,1,2
202685,C,202324,1,2
202685,C,203497,1,2
202685,C,203497,1,2
202685,C,203497,1,2
202685,C,203497,1,2
2199,C,2200,0,0
203458,C,201959,0,0
203458,C,201149,0,0
2199,C,2200,0,0
2199,C,2200,0,0
203458,C,203926,0,0
2199,C,2200,1,0
2199,C,2200,1,0
2199,C,2200,1,0
2199,C,2200,1,0
201149,C,203458,1,0
201149,C,203458,1,0
201585,C,202355,0,1
201585,C,2547,0,1
1626161,C,2547,0,2
202355,C,1626161,0,2
1626161,C,202355,0,2
202355,C,201585,0,2
1626161,C,1626159,0,2
202355,C,201585,0,2
1626161,C,202355,0,2
1626161,C,202355,0,2
201585,C,2547,0,1
202355,C,201585,1,2
201585,C,2405,1,1
1626161,C,2547,1,2
1626161,C,1626159,1,2
201585,C,202355,1,1
202355,C,201585,1,2
201585,C,201609,1,1
202355,C,200752,1,2
201585,C,202355,1,1
202328,C,202389,0,4
202328,C,202389,0,4
202684,C,203089,0,2
202684,C,203089,0,2
202684,C,201573,0,2
202328,C,202684,0,4
202328,C,202684,0,4
202328,C,202684,0,4
202328,C,202684,0,4
202684,C,202328,0,2
202328,C,202389,1,4
202328,C,202389,1,4
202684,C,202328,1,2
202328,C,202684,1,4
202328,C,202389,1,4
202389,C,203507,1,1
202328,C,202389,1,4
202684,C,202328,1,2
202328,C,2544,1,4
201599,C,201578,0,2
203105,C,201599,0,2
101106,C,201933,0,2
201599,C,203105,0,2
101106,C,201599,1,2
203105,C,201599,1,2
101106,C,201933,1,2
201599,C,203105,1,2
201599,C,201578,1,2
1626143,C,2744,0,4
2744,C,203457,0,4
2744,C,203457,0,4
2744,C,203457,0,4
2744,C,203457,0,4
203457,C,202689,0,0
2744,C,203457,0,4
1626163,C,203457,0,3
203457,C,2744,0,0
2744,C,203457,0,4
203457,C,201150,0,0
