Shooter ID,Shooter position,Defender ID,Defender position,Defend Success,Shooter Cluster,Defender Cluster
201952,PG,202391,PG,1,1,0
202391,PG,201952,PG,1,0,1
203471,PG,202689,PG,1,1,0
201952,PG,202689,PG,1,1,0
202689,PG,201952,PG,1,0,1
201952,PG,202689,PG,1,1,0
202689,PG,201952,PG,1,0,1
201952,PG,202689,PG,1,1,0
201952,PG,202689,PG,1,1,0
202689,PG,203471,PG,1,0,1
203471,PG,202391,PG,1,1,0
202391,PG,203471,PG,1,0,1
202391,PG,203471,PG,1,0,1
203471,PG,202391,PG,1,1,0
201952,PG,202689,PG,1,1,0
201952,PG,202689,PG,1,1,0
2225,PG,202738,PG,0,3,3
201988,PG,202738,PG,0,4,3
201988,PG,202738,PG,0,4,3
202738,PG,201988,PG,0,3,4
202738,PG,201988,PG,0,3,4
202738,PG,201988,PG,0,3,4
202738,PG,201988,PG,1,3,4
202738,PG,201988,PG,1,3,4
202738,PG,201988,PG,1,3,4
202738,PG,201988,PG,1,3,4
202738,PG,201988,PG,1,3,4
202738,PG,201988,PG,1,3,4
202738,PG,201988,PG,1,3,4
202738,PG,201988,PG,1,3,4
202738,PG,2225,PG,1,3,3
201609,PG,201951,PG,0,4,1
201609,PG,201951,PG,1,4,1
201609,PG,201951,PG,1,4,1
200768,PG,203487,PG,0,3,0
203487,PG,200768,PG,0,0,3
200768,PG,203487,PG,0,3,0
200768,PG,203487,PG,1,3,0
203487,PG,200768,PG,1,0,3
203487,PG,200768,PG,1,0,3
200768,PG,203487,PG,1,3,0
201565,PG,203901,PG,0,1,2
201565,PG,203901,PG,0,1,2
201166,PG,203894,PG,0,4,1
203901,PG,201565,PG,0,2,1
203894,PG,201166,PG,0,1,4
203894,PG,201565,PG,0,1,1
203901,PG,201565,PG,1,2,1
201565,PG,203901,PG,1,1,2
201166,PG,203894,PG,1,4,1
201166,PG,203894,PG,1,4,1
201166,PG,203901,PG,1,4,2
201166,PG,203901,PG,1,4,2
203901,PG,201565,PG,1,2,1
203901,PG,201565,PG,1,2,1
201565,PG,203901,PG,1,1,2
201166,PG,203894,PG,1,4,1
201166,PG,203894,PG,1,4,1
201166,PG,203894,PG,1,4,1
201566,PG,1626144,PG,0,2,1
1626144,PG,201566,PG,0,1,2
1626144,PG,201566,PG,0,1,2
201566,PG,1626144,PG,0,2,1
201571,PG,2749,PG,0,1,1
2749,PG,201571,PG,0,1,1
2749,PG,201571,PG,0,1,1
201571,PG,2749,PG,0,1,1
2749,PG,201571,PG,0,1,1
201566,PG,1626144,PG,0,2,1
201566,PG,1626144,PG,0,2,1
201566,PG,1626144,PG,0,2,1
201566,PG,1626144,PG,0,2,1
201571,PG,2749,PG,0,1,1
2749,PG,201566,PG,0,1,2
2749,PG,201566,PG,0,1,2
201566,PG,1626144,PG,1,2,1
201566,PG,1626144,PG,1,2,1
1626144,PG,201566,PG,1,1,2
2749,PG,201571,PG,1,1,1
2749,PG,201571,PG,1,1,1
201571,PG,2749,PG,1,1,1
2749,PG,201571,PG,1,1,1
2749,PG,201566,PG,1,1,2
201566,PG,2749,PG,1,2,1
201566,PG,1626144,PG,1,2,1
1626144,PG,201566,PG,1,1,2
201566,PG,1626144,PG,1,2,1
1626144,PG,201566,PG,1,1,2
2749,PG,201566,PG,1,1,2
2749,PG,201566,PG,1,1,2
2749,PG,201566,PG,1,1,2
201566,PG,2749,PG,1,2,1
1626144,PG,201571,PG,1,1,1
201571,PG,1626144,PG,1,1,1
101114,PG,1626156,PG,0,1,1
101114,PG,1626156,PG,0,1,1
1626156,PG,101114,PG,0,1,1
1626156,PG,101114,PG,0,1,1
1626156,PG,101114,PG,0,1,1
1626156,PG,101114,PG,1,1,1
1626156,PG,101114,PG,1,1,1
101114,PG,1626156,PG,1,1,1
1626156,PG,2734,PG,1,1,3
1626156,PG,101114,PG,1,1,1
1626156,PG,2734,PG,1,1,3
200826,PG,1626156,PG,1,1,1
1626156,PG,101114,PG,1,1,1
